date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-30 17:00:14, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:00:14, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:19, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:19, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:34, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:34, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:48, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:48, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:01, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:01, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:13,2022-10-30 17:04:54,Lula,458,50.55,3,0.02,1122,0.02
2022-10-30 17:06:13,2022-10-30 17:04:54,Bolsonaro,448,49.45,3,0.02,1122,0.02
2022-10-30 17:07:23,2022-10-30 17:05:54,Lula,2000,51.24,13,0.07,4862,0.08
2022-10-30 17:07:23,2022-10-30 17:05:54,Bolsonaro,1903,48.76,13,0.07,4862,0.08
2022-10-30 17:08:28,2022-10-30 17:07:04,Lula,4774,51.19,33,0.18,11776,0.19
2022-10-30 17:08:28,2022-10-30 17:07:04,Bolsonaro,4552,48.81,33,0.18,11776,0.19
2022-10-30 17:09:41,2022-10-30 17:08:12,Bolsonaro,10839,48.47,80,0.44,28451,0.47
2022-10-30 17:09:41,2022-10-30 17:08:12,Lula,11522,51.53,80,0.44,28451,0.47
2022-10-30 17:10:52,2022-10-30 17:10:08,Bolsonaro,32431,49.06,229,1.26,83150,1.37
2022-10-30 17:10:52,2022-10-30 17:10:08,Lula,33672,50.94,229,1.26,83150,1.37
2022-10-30 17:12:03,2022-10-30 17:11:08,Lula,44830,50.98,304,1.67,110757,1.82
2022-10-30 17:12:03,2022-10-30 17:11:08,Bolsonaro,43108,49.02,304,1.67,110757,1.82
2022-10-30 17:13:09,2022-10-30 17:12:17,Lula,55185,50.94,376,2.06,136527,2.25
