date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-30 17:00:16, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:01:26, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:02:36, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:03:56, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:05:04, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:06:15, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:07:25, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:08:38,2022-10-30 16:07:58,5,0.07,1321,0.07,1041,78.80,280,21.20,1041,980,94.14,14,1.35,47,4.51
2022-10-30 17:09:48,2022-10-30 16:07:58,5,0.07,1321,0.07,1041,78.80,280,21.20,1041,980,94.14,14,1.35,47,4.51
2022-10-30 17:11:00,2022-10-30 16:10:02,8,0.12,1990,0.10,1559,78.34,431,21.66,1559,1462,93.78,20,1.28,77,4.94
2022-10-30 17:12:06,2022-10-30 16:11:10,11,0.16,2919,0.15,2287,78.35,632,21.65,2287,2150,94.01,26,1.14,111,4.85
2022-10-30 17:13:13,2022-10-30 16:12:11,15,0.22,4037,0.20,3196,79.17,841,20.83,3196,2997,93.77,42,1.32,157,4.91
2022-10-30 17:14:24,2022-10-30 16:13:24,34,0.49,9413,0.47,7400,78.61,2013,21.39,7400,6983,94.36,90,1.22,327,4.42
