date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-30 17:00:16, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:00:16, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:27, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:27, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:36, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:36, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:57, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:57, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:05, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:05, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:16, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:16, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:26, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:26, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:39, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:39, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:09:50, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:09:50, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:11:01, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:11:01, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:12:07, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:12:07, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:13:14, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:13:14, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:14:25, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:14:25, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:15:35, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:15:35, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:16:41,2022-10-30 17:15:12,Bolsonaro,459,61.04,2,0.03,995,0.04
2022-10-30 17:16:41,2022-10-30 17:15:12,Lula,293,38.96,2,0.03,995,0.04
2022-10-30 17:17:48,2022-10-30 17:15:12,Bolsonaro,459,61.04,2,0.03,995,0.04
2022-10-30 17:17:48,2022-10-30 17:15:12,Lula,293,38.96,2,0.03,995,0.04
2022-10-30 17:19:04,2022-10-30 17:15:12,Bolsonaro,459,61.04,2,0.03,995,0.04
2022-10-30 17:19:04,2022-10-30 17:15:12,Lula,293,38.96,2,0.03,995,0.04
2022-10-30 17:20:10,2022-10-30 17:15:12,Bolsonaro,459,61.04,2,0.03,995,0.04
2022-10-30 17:20:10,2022-10-30 17:15:12,Lula,293,38.96,2,0.03,995,0.04
