date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-30 17:00:15, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:01:20, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:02:35, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:03:51, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:05:03, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:06:15, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:07:25,2022-10-30 17:05:54,1,0.01,336,0.01,256,76.19,80,23.81,256,253,98.83,1,0.39,2,0.78
2022-10-30 17:08:38,2022-10-30 17:05:54,1,0.01,336,0.01,256,76.19,80,23.81,256,253,98.83,1,0.39,2,0.78
2022-10-30 17:09:42,2022-10-30 17:07:58,2,0.01,606,0.01,445,73.43,161,26.57,445,432,97.08,3,0.67,10,2.25
2022-10-30 17:10:54,2022-10-30 17:10:01,7,0.01,1956,0.01,1461,74.69,495,25.31,1461,1405,96.17,22,1.50,34,2.33
2022-10-30 17:12:05,2022-10-30 17:11:03,14,0.03,4147,0.03,3233,77.96,914,22.04,3233,3120,96.50,47,1.46,66,2.04
2022-10-30 17:13:12,2022-10-30 17:12:06,21,0.04,6256,0.04,4846,77.46,1410,22.54,4846,4669,96.35,67,1.38,110,2.27
2022-10-30 17:14:23,2022-10-30 17:13:12,28,0.06,8193,0.05,6325,77.20,1868,22.80,6325,6084,96.19,82,1.30,159,2.51
2022-10-30 17:15:34,2022-10-30 17:14:10,36,0.07,10648,0.07,8206,77.07,2442,22.93,8206,7894,96.20,97,1.18,215,2.62
2022-10-30 17:16:40,2022-10-30 17:15:20,46,0.09,13280,0.08,10243,77.13,3037,22.87,10243,9856,96.22,121,1.18,266,2.60
2022-10-30 17:17:46,2022-10-30 17:17:18,60,0.12,16971,0.10,12920,76.13,4051,23.87,12920,12441,96.29,147,1.14,332,2.57
2022-10-30 17:19:03,2022-10-30 17:18:21,66,0.13,18614,0.11,14219,76.39,4395,23.61,14219,13685,96.24,172,1.21,362,2.55
2022-10-30 17:20:08,2022-10-30 17:19:24,106,0.21,30799,0.19,23673,76.86,7126,23.14,23673,22765,96.16,284,1.20,624,2.64
2022-10-30 17:21:29,2022-10-30 17:20:33,163,0.33,48242,0.30,37146,77.00,11096,23.00,37146,35693,96.09,450,1.21,1003,2.70
2022-10-30 17:22:35,2022-10-30 17:21:40,257,0.51,75918,0.47,58673,77.28,17245,22.72,58673,56354,96.05,732,1.25,1587,2.70
2022-10-30 17:23:46,2022-10-30 17:22:33,345,0.69,100938,0.62,77683,76.96,23255,23.04,77683,74595,96.02,989,1.28,2099,2.70
2022-10-30 17:25:08,2022-10-30 17:23:38,404,0.81,120050,0.74,92397,76.97,27653,23.03,92397,88758,96.06,1189,1.29,2450,2.65
2022-10-30 17:26:14,2022-10-30 17:24:39,471,0.94,140967,0.87,108546,77.00,32421,23.00,108546,104307,96.09,1412,1.31,2827,2.60
2022-10-30 17:27:21,2022-10-30 17:26:49,737,1.47,222224,1.36,170543,76.74,51681,23.26,170543,163802,96.05,2266,1.33,4475,2.62
2022-10-30 17:28:27,2022-10-30 17:27:55,853,1.71,258735,1.59,199307,77.03,59428,22.97,199307,191419,96.04,2697,1.36,5191,2.60
2022-10-30 17:29:38,2022-10-30 17:28:51,992,1.98,304521,1.87,234652,77.06,69869,22.94,234652,225360,96.04,3163,1.35,6129,2.61
2022-10-30 17:30:50,2022-10-30 17:29:54,1101,2.20,338369,2.08,261052,77.15,77317,22.85,261052,250662,96.02,3536,1.35,6854,2.63
2022-10-30 17:32:07,2022-10-30 17:31:02,1240,2.48,380821,2.34,293959,77.19,86862,22.81,293959,282317,96.04,3982,1.35,7660,2.61
2022-10-30 17:33:19,2022-10-30 17:32:01,1412,2.83,434889,2.67,336074,77.28,98815,22.72,336074,322727,96.03,4515,1.34,8832,2.63
2022-10-30 17:34:26,2022-10-30 17:33:11,1587,3.18,491163,3.02,379012,77.17,112151,22.83,379012,363988,96.04,5106,1.34,9918,2.62
2022-10-30 17:35:43,2022-10-30 17:34:15,1789,3.58,556288,3.42,429708,77.25,126580,22.75,429708,412649,96.03,5819,1.35,11240,2.62
