date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-30 17:00:15, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:01:20, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:02:35, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:03:51, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:05:03, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:06:15, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:07:25,2022-10-30 17:05:54,1,0.01,336,0.01,256,76.19,80,23.81,256,253,98.83,1,0.39,2,0.78
2022-10-30 17:08:38,2022-10-30 17:05:54,1,0.01,336,0.01,256,76.19,80,23.81,256,253,98.83,1,0.39,2,0.78
2022-10-30 17:09:42,2022-10-30 17:07:58,2,0.01,606,0.01,445,73.43,161,26.57,445,432,97.08,3,0.67,10,2.25
2022-10-30 17:10:54,2022-10-30 17:10:01,7,0.01,1956,0.01,1461,74.69,495,25.31,1461,1405,96.17,22,1.50,34,2.33
2022-10-30 17:12:05,2022-10-30 17:11:03,14,0.03,4147,0.03,3233,77.96,914,22.04,3233,3120,96.50,47,1.46,66,2.04
2022-10-30 17:13:12,2022-10-30 17:12:06,21,0.04,6256,0.04,4846,77.46,1410,22.54,4846,4669,96.35,67,1.38,110,2.27
2022-10-30 17:14:23,2022-10-30 17:13:12,28,0.06,8193,0.05,6325,77.20,1868,22.80,6325,6084,96.19,82,1.30,159,2.51
2022-10-30 17:15:34,2022-10-30 17:14:10,36,0.07,10648,0.07,8206,77.07,2442,22.93,8206,7894,96.20,97,1.18,215,2.62
2022-10-30 17:16:40,2022-10-30 17:15:20,46,0.09,13280,0.08,10243,77.13,3037,22.87,10243,9856,96.22,121,1.18,266,2.60
2022-10-30 17:17:46,2022-10-30 17:17:18,60,0.12,16971,0.10,12920,76.13,4051,23.87,12920,12441,96.29,147,1.14,332,2.57
2022-10-30 17:19:03,2022-10-30 17:18:21,66,0.13,18614,0.11,14219,76.39,4395,23.61,14219,13685,96.24,172,1.21,362,2.55
2022-10-30 17:20:08,2022-10-30 17:19:24,106,0.21,30799,0.19,23673,76.86,7126,23.14,23673,22765,96.16,284,1.20,624,2.64
