date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-30 17:00:17, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:01:27, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:02:37, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:03:58, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:05:10, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:06:22, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:07:27, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:08:39, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:09:50,2022-10-30 16:09:00,1,0.08,184,0.05,152,82.61,32,17.39,152,149,98.03,1,0.65,2,1.32
2022-10-30 17:11:01,2022-10-30 16:10:01,4,0.32,826,0.23,647,78.33,179,21.67,647,637,98.45,3,0.47,7,1.08
2022-10-30 17:12:08,2022-10-30 16:11:04,5,0.39,1098,0.30,863,78.60,235,21.40,863,850,98.49,5,0.58,8,0.93
2022-10-30 17:13:15,2022-10-30 16:11:04,5,0.39,1098,0.30,863,78.60,235,21.40,863,850,98.49,5,0.58,8,0.93
2022-10-30 17:14:25,2022-10-30 16:13:12,8,0.63,1704,0.46,1377,80.81,327,19.19,1377,1362,98.91,5,0.36,10,0.73
2022-10-30 17:15:36,2022-10-30 16:14:10,9,0.71,1950,0.53,1564,80.21,386,19.79,1564,1548,98.98,5,0.32,11,0.70
2022-10-30 17:16:43,2022-10-30 16:15:20,12,0.95,2508,0.68,1888,75.28,620,24.72,1888,1869,98.99,6,0.32,13,0.69
2022-10-30 17:17:49,2022-10-30 16:17:24,16,1.26,3476,0.95,2658,76.47,818,23.53,2658,2626,98.80,9,0.33,23,0.87
