date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-30 17:00:16, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:01:26, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:02:36, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:03:57, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:05:04, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:06:16, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:07:26,2022-10-30 16:05:54,2,0.03,384,0.02,318,82.81,66,17.19,318,312,98.11,1,0.32,5,1.57
2022-10-30 17:08:39,2022-10-30 16:06:57,10,0.13,3180,0.13,2597,81.67,583,18.33,2597,2542,97.88,17,0.66,38,1.46
2022-10-30 17:09:50,2022-10-30 16:09:02,44,0.58,13548,0.55,10921,80.61,2627,19.39,10921,10659,97.60,85,0.78,177,1.62
2022-10-30 17:11:00,2022-10-30 16:10:03,64,0.84,19301,0.78,15569,80.66,3732,19.34,15569,15194,97.59,120,0.77,255,1.64
2022-10-30 17:12:06,2022-10-30 16:11:10,92,1.20,27741,1.12,22337,80.52,5404,19.48,22337,21800,97.60,175,0.78,362,1.62
2022-10-30 17:13:14,2022-10-30 16:12:08,110,1.44,33508,1.36,26942,80.40,6566,19.60,26942,26284,97.56,217,0.80,441,1.64
2022-10-30 17:14:24,2022-10-30 16:13:24,151,1.97,45468,1.84,36507,80.29,8961,19.71,36507,35587,97.48,316,0.87,604,1.65
2022-10-30 17:15:35,2022-10-30 16:14:18,184,2.40,55179,2.23,44183,80.07,10996,19.93,44183,43087,97.52,375,0.85,721,1.63
2022-10-30 17:16:41,2022-10-30 16:15:26,211,2.76,63183,2.56,50537,79.99,12646,20.01,50537,49299,97.55,420,0.83,818,1.62
2022-10-30 17:17:48,2022-10-30 16:16:29,270,3.53,81803,3.31,65635,80.24,16168,19.76,65635,64007,97.52,550,0.84,1078,1.64
2022-10-30 17:19:04,2022-10-30 16:17:29,332,4.34,101181,4.10,81335,80.39,19846,19.61,81335,79304,97.50,687,0.85,1344,1.65
2022-10-30 17:20:10,2022-10-30 16:18:37,415,5.42,128264,5.19,103215,80.47,25049,19.53,103215,100630,97.50,899,0.87,1686,1.63
