date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-30 17:00:14, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:01:19, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:02:34, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:03:48, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:05:02,2022-10-30 16:03:53,1,0.01,392,0.01,326,83.16,66,16.84,326,312,95.71,3,0.92,11,3.37
2022-10-30 17:06:13,2022-10-30 16:04:53,7,0.09,2771,0.10,2354,84.95,417,15.05,2354,2213,94.01,23,0.98,118,5.01
2022-10-30 17:07:24,2022-10-30 16:05:55,28,0.38,10781,0.41,9180,85.15,1601,14.85,9180,8697,94.74,112,1.22,371,4.04
2022-10-30 17:08:28,2022-10-30 16:08:01,174,2.33,67621,2.55,56726,83.89,10895,16.11,56726,53915,95.04,741,1.31,2070,3.65
2022-10-30 17:09:41,2022-10-30 16:08:01,174,2.33,67621,2.55,56726,83.89,10895,16.11,56726,53915,95.04,741,1.31,2070,3.65
2022-10-30 17:10:52,2022-10-30 16:10:05,314,4.21,120275,4.54,100650,83.68,19625,16.32,100650,95727,95.11,1307,1.30,3616,3.59
2022-10-30 17:12:03,2022-10-30 16:11:10,355,4.76,135585,5.12,113098,83.41,22487,16.59,113098,107565,95.11,1462,1.29,4071,3.60
2022-10-30 17:13:10,2022-10-30 16:12:10,385,5.17,146541,5.54,122274,83.44,24267,16.56,122274,116311,95.12,1571,1.29,4392,3.59
2022-10-30 17:14:17,2022-10-30 16:13:23,409,5.49,155414,5.87,129556,83.36,25858,16.64,129556,123266,95.14,1644,1.27,4646,3.59
2022-10-30 17:15:32,2022-10-30 16:14:19,454,6.09,172378,6.51,143692,83.36,28686,16.64,143692,136728,95.15,1809,1.26,5155,3.59
2022-10-30 17:16:38,2022-10-30 16:15:12,498,6.68,188368,7.12,156730,83.20,31638,16.80,156730,149154,95.17,1955,1.24,5621,3.59
2022-10-30 17:17:44,2022-10-30 16:16:31,529,7.10,198596,7.50,164987,83.08,33609,16.92,164987,156966,95.14,2056,1.24,5965,3.62
2022-10-30 17:18:57,2022-10-30 16:18:35,630,8.45,234991,8.88,194853,82.92,40138,17.08,194853,185349,95.12,2440,1.25,7064,3.63
2022-10-30 17:20:07,2022-10-30 16:18:35,630,8.45,234991,8.88,194853,82.92,40138,17.08,194853,185349,95.12,2440,1.25,7064,3.63
2022-10-30 17:21:18,2022-10-30 16:20:47,867,11.63,317320,11.99,260721,82.16,56599,17.84,260721,247903,95.08,3170,1.22,9648,3.70
2022-10-30 17:22:34,2022-10-30 16:20:47,867,11.63,317320,11.99,260721,82.16,56599,17.84,260721,247903,95.08,3170,1.22,9648,3.70
2022-10-30 17:23:44,2022-10-30 16:22:58,1099,14.74,401851,15.18,329209,81.92,72642,18.08,329209,312989,95.07,3948,1.20,12272,3.73
2022-10-30 17:25:07,2022-10-30 16:24:04,1186,15.91,434267,16.41,355580,81.88,78687,18.12,355580,338044,95.07,4282,1.20,13254,3.73
2022-10-30 17:26:13,2022-10-30 16:25:02,1276,17.12,467380,17.66,381805,81.69,85575,18.31,381805,362939,95.06,4583,1.20,14283,3.74
2022-10-30 17:27:20,2022-10-30 16:26:12,1419,19.04,517618,19.55,422811,81.68,94807,18.32,422811,401937,95.06,5127,1.22,15747,3.72
