date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-30 17:00:13, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:01:18, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:02:28, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:03:48, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:05:01, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:06:13, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:07:23, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:08:28, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:09:40, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:10:51,2022-10-30 17:10:08,2,0.02,509,0.02,394,77.41,115,22.59,394,384,97.46,5,1.27,5,1.27
2022-10-30 17:12:03,2022-10-30 17:11:03,4,0.04,1037,0.04,756,72.90,281,27.10,756,737,97.49,7,0.92,12,1.59
2022-10-30 17:13:09,2022-10-30 17:11:03,4,0.04,1037,0.04,756,72.90,281,27.10,756,737,97.49,7,0.92,12,1.59
2022-10-30 17:14:16,2022-10-30 17:13:08,5,0.05,1349,0.05,979,72.57,370,27.43,979,946,96.63,11,1.12,22,2.25
2022-10-30 17:15:31,2022-10-30 17:14:11,9,0.10,2315,0.08,1779,76.85,536,23.15,1779,1713,96.29,20,1.12,46,2.59
2022-10-30 17:16:37,2022-10-30 17:15:17,15,0.16,4028,0.14,3167,78.62,861,21.38,3167,3049,96.27,28,0.89,90,2.84
2022-10-30 17:17:44,2022-10-30 17:16:19,18,0.19,5051,0.17,3993,79.05,1058,20.95,3993,3838,96.12,39,0.97,116,2.91
2022-10-30 17:18:56,2022-10-30 17:17:18,23,0.25,6598,0.23,5195,78.74,1403,21.26,5195,4969,95.65,62,1.19,164,3.16
2022-10-30 17:20:06,2022-10-30 17:17:18,23,0.25,6598,0.23,5195,78.74,1403,21.26,5195,4969,95.65,62,1.19,164,3.16
2022-10-30 17:21:12,2022-10-30 17:19:37,48,0.52,14465,0.49,11399,78.80,3066,21.20,11399,10856,95.24,139,1.22,404,3.54
2022-10-30 17:22:33,2022-10-30 17:21:46,131,1.42,39730,1.36,31320,78.83,8410,21.17,31320,29909,95.49,391,1.25,1020,3.26
2022-10-30 17:23:43,2022-10-30 17:22:49,180,1.95,54752,1.87,42992,78.52,11760,21.48,42992,41042,95.46,571,1.33,1379,3.21
2022-10-30 17:25:01,2022-10-30 17:23:55,242,2.62,74078,2.53,57724,77.92,16354,22.08,57724,55021,95.32,833,1.44,1870,3.24
2022-10-30 17:26:12,2022-10-30 17:24:58,325,3.52,100515,3.44,78029,77.63,22486,22.37,78029,74259,95.17,1161,1.49,2609,3.34
2022-10-30 17:27:19,2022-10-30 17:26:06,465,5.03,144271,4.94,112370,77.89,31901,22.11,112370,107063,95.28,1651,1.47,3656,3.25
2022-10-30 17:28:24,2022-10-30 17:27:05,573,6.20,175760,6.01,137545,78.26,38215,21.74,137545,130968,95.22,2052,1.49,4525,3.29
2022-10-30 17:29:35,2022-10-30 17:28:13,720,7.79,219917,7.53,172658,78.51,47259,21.49,172658,164404,95.22,2616,1.51,5638,3.27
2022-10-30 17:30:41,2022-10-30 17:29:14,878,9.50,270117,9.24,212563,78.69,57554,21.31,212563,202400,95.22,3277,1.54,6886,3.24
2022-10-30 17:31:59,2022-10-30 17:30:23,1023,11.07,314480,10.76,247912,78.83,66568,21.17,247912,236046,95.21,3828,1.55,8038,3.24
2022-10-30 17:33:10,2022-10-30 17:31:27,1204,13.03,373330,12.78,295193,79.07,78137,20.93,295193,281045,95.21,4574,1.55,9574,3.24
2022-10-30 17:34:23,2022-10-30 17:33:42,1631,17.65,507622,17.37,402147,79.22,105475,20.78,402147,382637,95.15,6308,1.57,13202,3.28
2022-10-30 17:35:39,2022-10-30 17:34:40,1774,19.20,553167,18.93,438702,79.31,114465,20.69,438702,417574,95.18,6887,1.57,14241,3.25
2022-10-30 17:36:48,2022-10-30 17:34:40,1774,19.20,553167,18.93,438702,79.31,114465,20.69,438702,417574,95.18,6887,1.57,14241,3.25
2022-10-30 17:37:56,2022-10-30 17:36:51,2119,22.94,659280,22.56,523177,79.36,136103,20.64,523177,497811,95.15,8256,1.58,17110,3.27
2022-10-30 17:39:07,2022-10-30 17:37:47,2271,24.58,705884,24.16,559783,79.30,146101,20.70,559783,532718,95.17,8854,1.58,18211,3.25
2022-10-30 17:40:13,2022-10-30 17:38:50,2416,26.15,750708,25.69,595532,79.33,155176,20.67,595532,566706,95.16,9451,1.59,19375,3.25
2022-10-30 17:41:24,2022-10-30 17:39:56,2645,28.63,823479,28.18,654032,79.42,169447,20.58,654032,622532,95.18,10364,1.59,21136,3.23
2022-10-30 17:42:30,2022-10-30 17:41:01,2774,30.02,865598,29.62,687442,79.42,178156,20.58,687442,654285,95.18,10944,1.59,22213,3.23
2022-10-30 17:43:36,2022-10-30 17:42:07,3018,32.67,940746,32.19,747024,79.41,193722,20.59,747024,711031,95.18,11891,1.59,24102,3.23
2022-10-30 17:44:51,2022-10-30 17:43:14,3200,34.64,994821,34.04,790165,79.43,204656,20.57,790165,752103,95.18,12559,1.59,25503,3.23
2022-10-30 17:46:00,2022-10-30 17:45:19,3559,38.52,1108916,37.95,881426,79.49,227490,20.51,881426,839280,95.22,13869,1.57,28277,3.21
2022-10-30 17:47:10,2022-10-30 17:46:25,3776,40.87,1177735,40.30,936408,79.51,241327,20.49,936408,891727,95.23,14735,1.57,29946,3.20
