date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-30 17:00:15, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:00:15, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:21, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:21, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:35, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:35, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:51, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:51, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:04, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:04, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:15, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:15, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:25, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:25, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:38, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:38, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:09:43, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:09:43, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:10:54,2022-10-30 17:08:59,Lula,89,89.0,1,0.01,135,0.01
2022-10-30 17:10:54,2022-10-30 17:08:59,Bolsonaro,11,11.0,1,0.01,135,0.01
2022-10-30 17:12:05,2022-10-30 17:08:59,Bolsonaro,11,11.0,1,0.01,135,0.01
2022-10-30 17:12:05,2022-10-30 17:08:59,Lula,89,89.0,1,0.01,135,0.01
2022-10-30 17:13:12,2022-10-30 17:12:06,Lula,233,85.04,2,0.01,445,0.01
2022-10-30 17:13:12,2022-10-30 17:12:06,Bolsonaro,41,14.96,2,0.01,445,0.01
2022-10-30 17:14:24,2022-10-30 17:12:06,Lula,233,85.04,2,0.01,445,0.01
2022-10-30 17:14:24,2022-10-30 17:12:06,Bolsonaro,41,14.96,2,0.01,445,0.01
2022-10-30 17:15:34,2022-10-30 17:14:10,Lula,471,78.76,4,0.02,897,0.02
2022-10-30 17:15:34,2022-10-30 17:14:10,Bolsonaro,127,21.24,4,0.02,897,0.02
2022-10-30 17:16:40,2022-10-30 17:15:13,Lula,797,81.58,6,0.04,1396,0.03
2022-10-30 17:16:40,2022-10-30 17:15:13,Bolsonaro,180,18.42,6,0.04,1396,0.03
