date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-30 17:00:16, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:00:16, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:26, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:26, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:36, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:36, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:56, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:56, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:04, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:04, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:16, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:16, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:26, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:26, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:38, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:38, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:09:48, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:09:48, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:11:00, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:11:00, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:12:06,2022-10-30 17:11:04,Bolsonaro,1465,55.1,11,0.01,3631,0.01
2022-10-30 17:12:06,2022-10-30 17:11:04,Lula,1194,44.9,11,0.01,3631,0.01
2022-10-30 17:13:13,2022-10-30 17:12:07,Bolsonaro,2677,56.15,21,0.02,6466,0.02
2022-10-30 17:13:13,2022-10-30 17:12:07,Lula,2091,43.85,21,0.02,6466,0.02
2022-10-30 17:14:24,2022-10-30 17:13:09,Bolsonaro,3600,52.41,30,0.03,9209,0.03
2022-10-30 17:14:24,2022-10-30 17:13:09,Lula,3269,47.59,30,0.03,9209,0.03
2022-10-30 17:15:35,2022-10-30 17:14:11,Bolsonaro,5369,50.76,48,0.05,14293,0.04
2022-10-30 17:15:35,2022-10-30 17:14:11,Lula,5209,49.24,48,0.05,14293,0.04
2022-10-30 17:16:41,2022-10-30 17:15:13,Lula,5688,49.75,52,0.05,15510,0.04
2022-10-30 17:16:41,2022-10-30 17:15:13,Bolsonaro,5745,50.25,52,0.05,15510,0.04
2022-10-30 17:17:48,2022-10-30 17:16:25,Bolsonaro,6783,50.6,60,0.06,18153,0.05
2022-10-30 17:17:48,2022-10-30 17:16:25,Lula,6623,49.4,60,0.06,18153,0.05
2022-10-30 17:19:04,2022-10-30 17:18:22,Bolsonaro,10952,54.44,89,0.09,27447,0.08
2022-10-30 17:19:04,2022-10-30 17:18:22,Lula,9164,45.56,89,0.09,27447,0.08
