date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-30 17:00:13, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:01:18, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:02:28, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:03:48, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:05:01, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:06:13, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:07:23, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:08:28, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:09:40,2022-10-30 17:07:58,1,0.01,342,0.01,288,84.21,54,15.79,288,272,94.44,3,1.05,13,4.51
2022-10-30 17:10:51,2022-10-30 17:07:58,1,0.01,342,0.01,288,84.21,54,15.79,288,272,94.44,3,1.05,13,4.51
2022-10-30 17:12:02,2022-10-30 17:07:58,1,0.01,342,0.01,288,84.21,54,15.79,288,272,94.44,3,1.05,13,4.51
2022-10-30 17:13:09,2022-10-30 17:07:58,1,0.01,342,0.01,288,84.21,54,15.79,288,272,94.44,3,1.05,13,4.51
2022-10-30 17:14:16,2022-10-30 17:13:08,2,0.01,647,0.01,506,78.21,141,21.79,506,465,91.90,7,1.38,34,6.72
2022-10-30 17:15:31,2022-10-30 17:13:08,2,0.01,647,0.01,506,78.21,141,21.79,506,465,91.90,7,1.38,34,6.72
2022-10-30 17:16:37,2022-10-30 17:15:13,3,0.01,1038,0.01,828,79.77,210,20.23,828,769,92.87,8,0.97,51,6.16
2022-10-30 17:17:44,2022-10-30 17:17:18,7,0.03,2324,0.03,1716,73.84,608,26.16,1716,1577,91.90,24,1.40,115,6.70
2022-10-30 17:18:50,2022-10-30 17:17:18,7,0.03,2324,0.03,1716,73.84,608,26.16,1716,1577,91.90,24,1.40,115,6.70
2022-10-30 17:20:06,2022-10-30 17:17:18,7,0.03,2324,0.03,1716,73.84,608,26.16,1716,1577,91.90,24,1.40,115,6.70
2022-10-30 17:21:11,2022-10-30 17:20:38,42,0.20,14510,0.21,11246,77.51,3264,22.49,11246,10506,93.42,123,1.09,617,5.49
2022-10-30 17:22:33,2022-10-30 17:21:39,61,0.30,21170,0.30,16416,77.54,4754,22.46,16416,15353,93.52,179,1.10,884,5.38
2022-10-30 17:23:43,2022-10-30 17:22:34,67,0.33,23506,0.34,18264,77.70,5242,22.30,18264,17098,93.62,197,1.07,969,5.31
2022-10-30 17:25:00,2022-10-30 17:23:35,73,0.35,25693,0.37,20082,78.16,5611,21.84,20082,18843,93.83,211,1.05,1028,5.12
2022-10-30 17:26:12,2022-10-30 17:24:39,92,0.45,31840,0.45,24769,77.79,7071,22.21,24769,23226,93.77,276,1.11,1267,5.12
2022-10-30 17:27:19,2022-10-30 17:26:49,176,0.86,61762,0.88,48964,79.28,12798,20.72,48964,45854,93.65,592,1.21,2518,5.14
2022-10-30 17:28:24,2022-10-30 17:27:54,215,1.05,74921,1.07,59632,79.59,15289,20.41,59632,55849,93.66,741,1.24,3042,5.10
2022-10-30 17:29:30,2022-10-30 17:27:54,215,1.05,74921,1.07,59632,79.59,15289,20.41,59632,55849,93.66,741,1.24,3042,5.10
2022-10-30 17:30:41,2022-10-30 17:29:00,261,1.27,90248,1.29,71885,79.65,18363,20.35,71885,67365,93.71,889,1.24,3631,5.05
2022-10-30 17:31:59,2022-10-30 17:31:08,366,1.78,124358,1.77,98507,79.21,25851,20.79,98507,92319,93.72,1180,1.20,5008,5.08
2022-10-30 17:33:10,2022-10-30 17:32:10,441,2.14,148805,2.12,117957,79.27,30848,20.73,117957,110621,93.78,1382,1.17,5954,5.05
2022-10-30 17:34:23,2022-10-30 17:33:19,490,2.38,164977,2.35,130656,79.20,34321,20.80,130656,122606,93.84,1506,1.15,6544,5.01
2022-10-30 17:35:39,2022-10-30 17:34:22,547,2.66,183657,2.62,145808,79.39,37849,20.61,145808,136883,93.88,1695,1.16,7230,4.96
2022-10-30 17:36:48,2022-10-30 17:35:25,625,3.04,209822,2.99,167537,79.85,42285,20.15,167537,157181,93.82,1982,1.18,8374,5.00
2022-10-30 17:37:56,2022-10-30 17:36:26,690,3.35,230702,3.29,184863,80.13,45839,19.87,184863,173379,93.79,2211,1.19,9273,5.02
2022-10-30 17:39:02,2022-10-30 17:37:28,759,3.69,253808,3.62,203658,80.24,50150,19.76,203658,190992,93.78,2441,1.20,10225,5.02
2022-10-30 17:40:13,2022-10-30 17:39:43,905,4.40,304021,4.33,244520,80.43,59501,19.57,244520,229261,93.76,2943,1.20,12316,5.04
2022-10-30 17:41:23,2022-10-30 17:40:46,967,4.70,324244,4.62,260495,80.34,63749,19.66,260495,244246,93.76,3149,1.21,13100,5.03
2022-10-30 17:42:30,2022-10-30 17:41:48,1044,5.07,349846,4.99,281083,80.34,68763,19.66,281083,263528,93.75,3431,1.23,14124,5.02
2022-10-30 17:43:36,2022-10-30 17:41:48,1044,5.07,349846,4.99,281083,80.34,68763,19.66,281083,263528,93.75,3431,1.23,14124,5.02
2022-10-30 17:44:49,2022-10-30 17:42:54,1112,5.41,372055,5.30,298963,80.35,73092,19.65,298963,280382,93.78,3643,1.22,14938,5.00
2022-10-30 17:46:00,2022-10-30 17:45:03,1282,6.23,429491,6.12,344523,80.22,84968,19.78,344523,323162,93.80,4229,1.23,17132,4.97
2022-10-30 17:47:09,2022-10-30 17:46:07,1373,6.67,461330,6.58,370361,80.28,90969,19.72,370361,347434,93.81,4558,1.23,18369,4.96
