date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-30 17:00:16, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:01:26, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:02:36, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:03:57, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:05:04, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:06:16, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:07:26, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:08:38,2022-10-30 17:06:56,1,0.01,372,0.01,330,88.71,42,11.29,330,324,98.18,1,0.30,5,1.52
2022-10-30 17:09:48,2022-10-30 17:06:56,1,0.01,372,0.01,330,88.71,42,11.29,330,324,98.18,1,0.30,5,1.52
2022-10-30 17:11:00,2022-10-30 17:06:56,1,0.01,372,0.01,330,88.71,42,11.29,330,324,98.18,1,0.30,5,1.52
2022-10-30 17:12:06,2022-10-30 17:06:56,1,0.01,372,0.01,330,88.71,42,11.29,330,324,98.18,1,0.30,5,1.52
2022-10-30 17:13:14,2022-10-30 17:12:06,3,0.02,977,0.02,857,87.72,120,12.28,857,841,98.13,8,0.94,8,0.93
2022-10-30 17:14:24,2022-10-30 17:13:08,7,0.04,2197,0.04,1929,87.80,268,12.20,1929,1896,98.29,18,0.93,15,0.78
2022-10-30 17:15:35,2022-10-30 17:13:08,7,0.04,2197,0.04,1929,87.80,268,12.20,1929,1896,98.29,18,0.93,15,0.78
