date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-30 17:00:16, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:00:16, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:26, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:26, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:36, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:36, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:56, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:56, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:04, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:04, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:15, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:15, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:25, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:25, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:38,2022-10-30 16:07:58,Bolsonaro,403,41.12,5,0.07,1321,0.07
2022-10-30 17:08:38,2022-10-30 16:07:58,Lula,577,58.88,5,0.07,1321,0.07
2022-10-30 17:09:48,2022-10-30 16:07:58,Lula,577,58.88,5,0.07,1321,0.07
2022-10-30 17:09:48,2022-10-30 16:07:58,Bolsonaro,403,41.12,5,0.07,1321,0.07
2022-10-30 17:11:00,2022-10-30 16:10:02,Lula,808,55.27,8,0.12,1990,0.10
2022-10-30 17:11:00,2022-10-30 16:10:02,Bolsonaro,654,44.73,8,0.12,1990,0.10
2022-10-30 17:12:06,2022-10-30 16:11:10,Lula,1144,53.21,11,0.16,2919,0.15
2022-10-30 17:12:06,2022-10-30 16:11:10,Bolsonaro,1006,46.79,11,0.16,2919,0.15
2022-10-30 17:13:13,2022-10-30 16:12:11,Bolsonaro,1519,50.68,15,0.22,4037,0.20
2022-10-30 17:13:13,2022-10-30 16:12:11,Lula,1478,49.32,15,0.22,4037,0.20
2022-10-30 17:14:24,2022-10-30 16:13:24,Bolsonaro,3818,54.68,34,0.49,9413,0.47
2022-10-30 17:14:24,2022-10-30 16:13:24,Lula,3165,45.32,34,0.49,9413,0.47
2022-10-30 17:15:35,2022-10-30 16:14:33,Bolsonaro,5834,55.32,51,0.74,14186,0.71
2022-10-30 17:15:35,2022-10-30 16:14:33,Lula,4712,44.68,51,0.74,14186,0.71
2022-10-30 17:16:40,2022-10-30 16:15:30,Lula,6070,43.28,69,1.00,18780,0.94
2022-10-30 17:16:40,2022-10-30 16:15:30,Bolsonaro,7956,56.72,69,1.00,18780,0.94
2022-10-30 17:17:47,2022-10-30 16:16:32,Lula,8562,42.24,99,1.43,27053,1.36
2022-10-30 17:17:47,2022-10-30 16:16:32,Bolsonaro,11706,57.76,99,1.43,27053,1.36
2022-10-30 17:19:04,2022-10-30 16:17:35,Bolsonaro,14261,57.95,117,1.69,32734,1.64
