date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-30 17:00:15, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:00:15, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:20, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:20, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:35, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:35, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:50, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:50, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:03, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:03, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:15, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:15, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:25, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:25, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:37, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:37, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:09:42, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:09:42, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:10:54,2022-10-30 17:10:08,Lula,515,73.15,3,0.03,896,0.03
2022-10-30 17:10:54,2022-10-30 17:10:08,Bolsonaro,189,26.85,3,0.03,896,0.03
2022-10-30 17:12:05,2022-10-30 17:11:03,Lula,861,73.46,5,0.06,1489,0.06
2022-10-30 17:12:05,2022-10-30 17:11:03,Bolsonaro,311,26.54,5,0.06,1489,0.06
2022-10-30 17:13:12,2022-10-30 17:12:06,Bolsonaro,430,30.03,6,0.07,1812,0.07
2022-10-30 17:13:12,2022-10-30 17:12:06,Lula,1002,69.97,6,0.07,1812,0.07
2022-10-30 17:14:23,2022-10-30 17:13:12,Lula,3054,79.51,16,0.18,4924,0.19
2022-10-30 17:14:23,2022-10-30 17:13:12,Bolsonaro,787,20.49,16,0.18,4924,0.19
2022-10-30 17:15:34,2022-10-30 17:14:10,Lula,3453,77.13,19,0.21,5740,0.22
2022-10-30 17:15:34,2022-10-30 17:14:10,Bolsonaro,1024,22.87,19,0.21,5740,0.22
2022-10-30 17:16:40,2022-10-30 17:15:14,Lula,3930,76.56,22,0.25,6532,0.25
2022-10-30 17:16:40,2022-10-30 17:15:14,Bolsonaro,1203,23.44,22,0.25,6532,0.25
2022-10-30 17:17:46,2022-10-30 17:16:18,Lula,4935,77.01,28,0.31,8128,0.32
2022-10-30 17:17:46,2022-10-30 17:16:18,Bolsonaro,1473,22.99,28,0.31,8128,0.32
2022-10-30 17:19:03,2022-10-30 17:18:30,Bolsonaro,3439,23.98,61,0.68,18212,0.71
2022-10-30 17:19:03,2022-10-30 17:18:30,Lula,10900,76.02,61,0.68,18212,0.71
2022-10-30 17:20:08,2022-10-30 17:18:30,Lula,10900,76.02,61,0.68,18212,0.71
2022-10-30 17:20:08,2022-10-30 17:18:30,Bolsonaro,3439,23.98,61,0.68,18212,0.71
2022-10-30 17:21:29,2022-10-30 17:20:42,Lula,25361,75.33,143,1.60,42711,1.66
2022-10-30 17:21:29,2022-10-30 17:20:42,Bolsonaro,8306,24.67,143,1.60,42711,1.66
2022-10-30 17:22:35,2022-10-30 17:21:43,Lula,36416,75.41,207,2.31,61352,2.39
2022-10-30 17:22:35,2022-10-30 17:21:43,Bolsonaro,11876,24.59,207,2.31,61352,2.39
2022-10-30 17:23:45,2022-10-30 17:22:49,Lula,48429,75.83,274,3.06,81106,3.16
2022-10-30 17:23:45,2022-10-30 17:22:49,Bolsonaro,15436,24.17,274,3.06,81106,3.16
2022-10-30 17:25:08,2022-10-30 17:23:48,Lula,60552,75.71,342,3.82,101529,3.95
2022-10-30 17:25:08,2022-10-30 17:23:48,Bolsonaro,19424,24.29,342,3.82,101529,3.95
