date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-30 17:00:17, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:00:17, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:27, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:27, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:36, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:36, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:57, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:57, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:10, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:10, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:21, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:21, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:26, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:26, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:39,2022-10-30 17:06:56,Lula,168,61.76,1,0.01,368,0.01
2022-10-30 17:08:39,2022-10-30 17:06:56,Bolsonaro,104,38.24,1,0.01,368,0.01
2022-10-30 17:09:50,2022-10-30 17:08:59,Lula,1463,63.39,9,0.04,2992,0.04
2022-10-30 17:09:50,2022-10-30 17:08:59,Bolsonaro,845,36.61,9,0.04,2992,0.04
2022-10-30 17:11:01,2022-10-30 17:10:01,Lula,2041,63.88,12,0.05,4089,0.06
2022-10-30 17:11:01,2022-10-30 17:10:01,Bolsonaro,1154,36.12,12,0.05,4089,0.06
2022-10-30 17:12:07,2022-10-30 17:11:03,Lula,2229,63.34,13,0.06,4491,0.07
2022-10-30 17:12:07,2022-10-30 17:11:03,Bolsonaro,1290,36.66,13,0.06,4491,0.07
2022-10-30 17:13:14,2022-10-30 17:12:06,Lula,2399,62.93,14,0.06,4867,0.07
2022-10-30 17:13:14,2022-10-30 17:12:06,Bolsonaro,1413,37.07,14,0.06,4867,0.07
2022-10-30 17:14:25,2022-10-30 17:13:08,Lula,2785,62.26,16,0.07,5682,0.08
2022-10-30 17:14:25,2022-10-30 17:13:08,Bolsonaro,1688,37.74,16,0.07,5682,0.08
2022-10-30 17:15:36,2022-10-30 17:14:10,Bolsonaro,2193,37.37,24,0.11,7551,0.11
2022-10-30 17:15:36,2022-10-30 17:14:10,Lula,3675,62.63,24,0.11,7551,0.11
