date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-30 17:00:15, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:00:15, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:20, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:20, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:35, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:35, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:49, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:49, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:03, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:03, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:14, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:14, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:24,2022-10-30 17:06:55,Lula,380,49.93,3,0.02,906,0.02
2022-10-30 17:07:24,2022-10-30 17:06:55,Bolsonaro,381,50.07,3,0.02,906,0.02
2022-10-30 17:08:29,2022-10-30 17:06:55,Bolsonaro,381,50.07,3,0.02,906,0.02
2022-10-30 17:08:29,2022-10-30 17:06:55,Lula,380,49.93,3,0.02,906,0.02
2022-10-30 17:09:42,2022-10-30 17:07:58,Bolsonaro,665,51.11,5,0.03,1598,0.03
2022-10-30 17:09:42,2022-10-30 17:07:58,Lula,636,48.89,5,0.03,1598,0.03
2022-10-30 17:10:53,2022-10-30 17:10:02,Lula,1262,51.03,11,0.08,3156,0.06
2022-10-30 17:10:53,2022-10-30 17:10:02,Bolsonaro,1211,48.97,11,0.08,3156,0.06
2022-10-30 17:12:04,2022-10-30 17:11:06,Bolsonaro,1433,50.32,13,0.09,3786,0.08
2022-10-30 17:12:04,2022-10-30 17:11:06,Lula,1415,49.68,13,0.09,3786,0.08
2022-10-30 17:13:11,2022-10-30 17:11:06,Bolsonaro,1433,50.32,13,0.09,3786,0.08
2022-10-30 17:13:11,2022-10-30 17:11:06,Lula,1415,49.68,13,0.09,3786,0.08
2022-10-30 17:14:23,2022-10-30 17:13:12,Bolsonaro,1566,48.29,15,0.10,4350,0.09
2022-10-30 17:14:23,2022-10-30 17:13:12,Lula,1677,51.71,15,0.10,4350,0.09
2022-10-30 17:15:33,2022-10-30 17:14:10,Bolsonaro,2131,52.19,18,0.12,5403,0.11
2022-10-30 17:15:33,2022-10-30 17:14:10,Lula,1952,47.81,18,0.12,5403,0.11
2022-10-30 17:16:39,2022-10-30 17:15:13,Bolsonaro,2317,52.29,20,0.14,5873,0.12
2022-10-30 17:16:39,2022-10-30 17:15:13,Lula,2114,47.71,20,0.14,5873,0.12
2022-10-30 17:17:45,2022-10-30 17:17:18,Bolsonaro,3890,55.67,30,0.21,9219,0.19
2022-10-30 17:17:45,2022-10-30 17:17:18,Lula,3098,44.33,30,0.21,9219,0.19
2022-10-30 17:18:57,2022-10-30 17:18:22,Bolsonaro,4471,56.65,33,0.23,10327,0.21
2022-10-30 17:18:57,2022-10-30 17:18:22,Lula,3421,43.35,33,0.23,10327,0.21
2022-10-30 17:20:08,2022-10-30 17:18:22,Bolsonaro,4471,56.65,33,0.23,10327,0.21
2022-10-30 17:20:08,2022-10-30 17:18:22,Lula,3421,43.35,33,0.23,10327,0.21
2022-10-30 17:21:24,2022-10-30 17:20:29,Lula,8928,41.0,84,0.57,28045,0.58
2022-10-30 17:21:24,2022-10-30 17:20:29,Bolsonaro,12848,59.0,84,0.57,28045,0.58
2022-10-30 17:22:35,2022-10-30 17:21:32,Lula,14844,38.47,149,1.02,49840,1.02
2022-10-30 17:22:35,2022-10-30 17:21:32,Bolsonaro,23741,61.53,149,1.02,49840,1.02
2022-10-30 17:23:45,2022-10-30 17:22:43,Bolsonaro,33055,62.6,203,1.39,68298,1.40
2022-10-30 17:23:45,2022-10-30 17:22:43,Lula,19752,37.4,203,1.39,68298,1.40
2022-10-30 17:25:07,2022-10-30 17:23:42,Bolsonaro,45399,62.71,278,1.90,93797,1.93
2022-10-30 17:25:07,2022-10-30 17:23:42,Lula,26994,37.29,278,1.90,93797,1.93
2022-10-30 17:26:13,2022-10-30 17:25:47,Bolsonaro,77057,62.82,467,3.19,158297,3.25
2022-10-30 17:26:13,2022-10-30 17:25:47,Lula,45605,37.18,467,3.19,158297,3.25
2022-10-30 17:27:20,2022-10-30 17:26:53,Bolsonaro,96204,62.28,594,4.06,199568,4.10
2022-10-30 17:27:20,2022-10-30 17:26:53,Lula,58268,37.72,594,4.06,199568,4.10
2022-10-30 17:28:26,2022-10-30 17:26:53,Bolsonaro,96204,62.28,594,4.06,199568,4.10
2022-10-30 17:28:26,2022-10-30 17:26:53,Lula,58268,37.72,594,4.06,199568,4.10
2022-10-30 17:29:37,2022-10-30 17:27:58,Lula,76420,37.51,779,5.33,263388,5.41
2022-10-30 17:29:37,2022-10-30 17:27:58,Bolsonaro,127324,62.49,779,5.33,263388,5.41
2022-10-30 17:30:44,2022-10-30 17:28:58,Bolsonaro,152448,62.39,931,6.37,316029,6.49
2022-10-30 17:30:44,2022-10-30 17:28:58,Lula,91888,37.61,931,6.37,316029,6.49
2022-10-30 17:32:00,2022-10-30 17:30:57,Bolsonaro,190042,62.15,1180,8.07,396061,8.13
2022-10-30 17:32:00,2022-10-30 17:30:57,Lula,115722,37.85,1180,8.07,396061,8.13
2022-10-30 17:33:18,2022-10-30 17:32:09,Bolsonaro,217005,62.16,1357,9.28,452616,9.29
2022-10-30 17:33:18,2022-10-30 17:32:09,Lula,132081,37.84,1357,9.28,452616,9.29
2022-10-30 17:34:25,2022-10-30 17:33:15,Bolsonaro,247539,62.27,1535,10.50,515351,10.58
2022-10-30 17:34:25,2022-10-30 17:33:15,Lula,150013,37.73,1535,10.50,515351,10.58
2022-10-30 17:35:42,2022-10-30 17:34:15,Bolsonaro,268741,62.0,1674,11.45,562581,11.55
2022-10-30 17:35:42,2022-10-30 17:34:15,Lula,164678,38.0,1674,11.45,562581,11.55
2022-10-30 17:36:51,2022-10-30 17:36:20,Bolsonaro,314037,61.85,1966,13.45,659662,13.54
2022-10-30 17:36:51,2022-10-30 17:36:20,Lula,193669,38.15,1966,13.45,659662,13.54
2022-10-30 17:37:58,2022-10-30 17:36:20,Bolsonaro,314037,61.85,1966,13.45,659662,13.54
2022-10-30 17:37:58,2022-10-30 17:36:20,Lula,193669,38.15,1966,13.45,659662,13.54
