date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-30 17:00:14, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:00:14, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:19, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:01:19, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:34, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:02:34, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:49, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:03:49, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:02, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:05:02, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:14, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:06:14, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:24, ,Lula,0,0.0,0,0.00,0,0.00
2022-10-30 17:07:24, ,Bolsonaro,0,0.0,0,0.00,0,0.00
2022-10-30 17:08:29,2022-10-30 17:06:55,Lula,380,72.52,2,0.01,694,0.01
2022-10-30 17:08:29,2022-10-30 17:06:55,Bolsonaro,144,27.48,2,0.01,694,0.01
2022-10-30 17:09:41,2022-10-30 17:07:58,Lula,495,74.21,4,0.01,940,0.01
2022-10-30 17:09:41,2022-10-30 17:07:58,Bolsonaro,172,25.79,4,0.01,940,0.01
2022-10-30 17:10:53,2022-10-30 17:10:01,Bolsonaro,1109,26.47,18,0.05,5747,0.05
2022-10-30 17:10:53,2022-10-30 17:10:01,Lula,3081,73.53,18,0.05,5747,0.05
2022-10-30 17:12:04,2022-10-30 17:11:03,Lula,4593,73.61,26,0.08,8534,0.08
2022-10-30 17:12:04,2022-10-30 17:11:03,Bolsonaro,1647,26.39,26,0.08,8534,0.08
2022-10-30 17:13:10,2022-10-30 17:12:06,Lula,5033,73.71,29,0.08,9385,0.08
2022-10-30 17:13:10,2022-10-30 17:12:06,Bolsonaro,1795,26.29,29,0.08,9385,0.08
