date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-30 17:00:13, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:01:18, ,0,0.00,0,0.00,0,0.00,0,0.00,0,0,00.00,0,00.00,0,00.00
2022-10-30 17:02:28,2022-10-30 17:01:51,574,0.12,406931,0.26,184452,45.32,222479,54.68,184452,176991,95.96,3755,2.03,3706,2.01
2022-10-30 17:03:48,2022-10-30 17:02:52,579,0.12,408506,0.26,185766,45.47,222740,54.53,185766,178255,95.96,3771,2.03,3740,2.01
2022-10-30 17:05:00,2022-10-30 17:03:53,586,0.12,410679,0.26,187566,45.67,223113,54.33,187566,179994,95.96,3791,2.02,3781,2.02
2022-10-30 17:06:12,2022-10-30 17:04:54,614,0.13,420398,0.26,195743,46.56,224655,53.44,195743,187790,95.94,3911,2.00,4042,2.06
2022-10-30 17:07:22,2022-10-30 17:05:56,734,0.15,460809,0.29,228691,49.62,232118,50.38,228691,219404,95.94,4402,1.92,4885,2.14
2022-10-30 17:08:28,2022-10-30 17:07:04,992,0.21,548161,0.35,300810,54.87,247351,45.13,300810,288557,95.93,5501,1.83,6752,2.24
2022-10-30 17:09:40,2022-10-30 17:08:12,1447,0.30,701805,0.44,427520,60.91,274285,39.09,427520,410107,95.93,7361,1.72,10052,2.35
2022-10-30 17:10:51,2022-10-30 17:10:14,2640,0.55,1103027,0.70,758908,68.80,344119,31.20,758908,728743,96.03,12078,1.59,18087,2.38
2022-10-30 17:12:02,2022-10-30 17:11:17,3141,0.66,1269747,0.81,895316,70.51,374431,29.49,895316,859932,96.05,13974,1.56,21410,2.39
2022-10-30 17:13:09,2022-10-30 17:12:17,3631,0.76,1434207,0.91,1030161,71.82,404046,28.18,1030161,989698,96.07,15843,1.54,24620,2.39
2022-10-30 17:14:16,2022-10-30 17:13:31,4577,0.96,1739151,1.11,1281364,73.67,457787,26.33,1281364,1231431,96.10,19421,1.52,30512,2.38
2022-10-30 17:15:31,2022-10-30 17:14:33,5500,1.16,2041510,1.30,1529117,74.90,512393,25.10,1529117,1470170,96.15,22744,1.48,36203,2.37
2022-10-30 17:16:37,2022-10-30 17:15:35,6486,1.37,2358553,1.50,1788306,75.82,570247,24.18,1788306,1719631,96.16,26236,1.47,42439,2.37
2022-10-30 17:17:43,2022-10-30 17:16:36,7758,1.64,2770668,1.77,2124628,76.68,646040,23.32,2124628,2042922,96.15,31065,1.47,50641,2.38
2022-10-30 17:18:50,2022-10-30 17:17:39,8673,1.83,3066866,1.96,2365866,77.14,701000,22.86,2365866,2275023,96.16,34359,1.45,56484,2.39
2022-10-30 17:20:06,2022-10-30 17:18:44,9683,2.05,3396025,2.17,2634953,77.58,761072,22.42,2634953,2533731,96.16,38151,1.45,63071,2.39
2022-10-30 17:21:11,2022-10-30 17:19:55,12108,2.56,4185433,2.67,3278838,78.33,906595,21.67,3278838,3152758,96.15,46753,1.43,79327,2.42
2022-10-30 17:22:33,2022-10-30 17:20:54,13920,2.94,4781442,3.05,3760378,78.64,1021064,21.36,3760378,3615359,96.14,53038,1.41,91981,2.45
2022-10-30 17:23:43,2022-10-30 17:22:04,16388,3.47,5580951,3.56,4401530,78.86,1179421,21.14,4401530,4231699,96.14,61142,1.39,108689,2.47
2022-10-30 17:25:00,2022-10-30 17:24:13,20736,4.39,7000510,4.47,5544070,79.19,1456440,20.81,5544070,5330175,96.14,75267,1.36,138628,2.50
2022-10-30 17:26:11,2022-10-30 17:25:06,22765,4.82,7656857,4.89,6069268,79.26,1587589,20.74,6069268,5834208,96.13,82009,1.35,153051,2.52
2022-10-30 17:27:18,2022-10-30 17:26:19,26518,5.61,8860465,5.66,7030429,79.34,1830036,20.66,7030429,6757481,96.12,94038,1.34,178910,2.54
2022-10-30 17:28:24,2022-10-30 17:27:18,29571,6.26,9835062,6.28,7808419,79.39,2026643,20.61,7808419,7504450,96.11,103775,1.33,200194,2.56
2022-10-30 17:29:29,2022-10-30 17:28:26,32606,6.90,10814305,6.91,8588107,79.41,2226198,20.59,8588107,8252915,96.10,113761,1.32,221431,2.58
2022-10-30 17:30:41,2022-10-30 17:29:23,35561,7.53,11776320,7.52,9355346,79.44,2420974,20.56,9355346,8988430,96.08,123796,1.32,243120,2.60
2022-10-30 17:31:59,2022-10-30 17:30:31,38050,8.06,12577954,8.03,9992214,79.44,2585740,20.56,9992214,9598178,96.06,132043,1.32,261993,2.62
2022-10-30 17:33:10,2022-10-30 17:31:33,41139,8.71,13567185,8.67,10779369,79.45,2787816,20.55,10779369,10353294,96.05,142084,1.32,283991,2.63
2022-10-30 17:34:23,2022-10-30 17:33:47,47657,10.09,15672575,10.01,12451147,79.44,3221428,20.56,12451147,11954152,96.01,164186,1.32,332809,2.67
2022-10-30 17:35:39,2022-10-30 17:34:44,50626,10.72,16634918,10.63,13217146,79.45,3417772,20.55,13217146,12688708,96.00,174341,1.32,354097,2.68
2022-10-30 17:36:47,2022-10-30 17:35:55,53736,11.38,17642250,11.27,14017785,79.45,3624465,20.55,14017785,13456437,96.00,184833,1.31,376515,2.69
2022-10-30 17:37:56,2022-10-30 17:36:55,56790,12.02,18640995,11.91,14813910,79.46,3827085,20.54,14813910,14217944,95.98,195754,1.32,400212,2.70
2022-10-30 17:39:02,2022-10-30 17:37:54,59696,12.64,19589075,12.52,15568348,79.47,4020727,20.53,15568348,14940601,95.97,206018,1.32,421729,2.71
2022-10-30 17:40:12,2022-10-30 17:38:54,62578,13.25,20529255,13.12,16315219,79.47,4214036,20.53,16315219,15655234,95.95,216262,1.33,443723,2.72
2022-10-30 17:41:23,2022-10-30 17:41:05,68965,14.60,22600404,14.44,17962055,79.47,4638349,20.53,17962055,17230989,95.93,238216,1.33,492850,2.74
2022-10-30 17:42:30,2022-10-30 17:41:05,68965,14.60,22600404,14.44,17962055,79.47,4638349,20.53,17962055,17230989,95.93,238216,1.33,492850,2.74
